URL	Label	Label	Label	Label	Label	A=MBFCLink	Score
en.mercopress.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/mercopress/	0.59
www.nationalgeographic.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/national-geographic/	0.98
www.africanews.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/africa-news/	0.88
wgntv.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/wgn-news/	0.66
ballotpedia.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/ballotpedia/	0.49
www.theage.com.au/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-age-australia/	0.98
www.palestinechronicle.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/the-palestine-chronicle/	0.71
www.theverge.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-verge/	0.9
www.mprnews.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/minnesota-public-radio-mpr/	0.65
blog.countable.us/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/countable-news/	0.21
earthsky.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/earth-sky/	0.59
democracychronicles.org/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/democracy-chronicles/	0.38
www.pennlive.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-patriot-news/	0.56
www.americanheritage.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/american-heritage/	0.57
leadstories.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/lead-stories/	0.96
newatlas.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/new-atlas/	0.78
fas.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/federation-of-american-scientists-fas/	0.7
consortiumnews.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/consortium-news/	0.89
www.cctv-america.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/cctv-america/	0.24
medicalxpress.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/medicalxpress/	0.81
checkyourfact.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/check-your-fact/	0.24
www.nih.gov/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/national-institutes-of-health-nih/	0.99
www.truthdig.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/truthdig/	0.91
freepress.org/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/free-press-2/	0.53
www.hrc.org/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/human-rights-campaign/	0.78
limacharlienews.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/lima-charlie-news/	0.24
www.rescue.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/international-rescue-committee-irc/	0.62
www.taxpolicycenter.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/tax-policy-center/	0.47
www.news24.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/news24-south-africa/	0.87
www.resourcegovernance.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/natural-resource-governance-institute/	0.74
www.liberalmountain.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/liberal-mountain/	0.21
windsorstar.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/windsor-star/	0.75
www.edge.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/edge-foundation/	0.83
www.toledoblade.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/toledo-blade/	0.67
www.themarysue.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/the-mary-sue/	0.74
politicsthatwork.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/politics-that-work/	0.25
www.deseretnews.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/deseret-news/	0.72
www.thegazette.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/the-gazette-cedar-rapids/	0.9
skeptoid.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/skeptoid/	0.62
www.gao.gov/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/us-government-accountability-office-gao/	0.68
www.investopedia.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/investopedia/	0.81
www.ocregister.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/orange-county-register/	0.84
www.seeker.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/seeker-daily/	0.6
jointcenter.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/joint-center-for-political-and-economic-studies/	0.46
lexingtoninstitute.org/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/lexington-institute/	0.39
www.stripes.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/stars-and-stripes/	0.65
nymag.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/new-york-magazine/	0.95
www.detroitnews.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/detroit-news/	0.76
observer.com/*	_cse_cwfn9qhuqkk	right-leaning	right-only			https://mediabiasfactcheck.com/new-york-observer/	0.87
www.pinknews.co.uk/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/pink-news/	0.55
www.freep.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/detroit-free-press/	0.76
credoaction.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/credo-action/	0.44
www.nationalmemo.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/the-national-memo/	0.52
www.capoliticalreview.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/california-political-review/	0.6
www.medicalnewstoday.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/medical-news-today/	0.85
eppc.org/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/ethics-public-policy-center-eppc/	0.51
www.freemedia.at/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/international-press-institute/	0.4
www.spokesman.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/the-spokesman-review/	0.79
bdnews24.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/bdnews24/	0.83
www.dutchdailynews.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/dutch-daily-news/	0.29
www.councilforthenationalinterest.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/council-for-the-national-interest/	0.47
www.ydr.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/york-daily-record/	0.53
sunlightfoundation.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/sunlight-foundation/	0.88
www.atlanticmedia.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/atlantic-media/	0.46
www.bmj.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/the-bmj-british-medical-journal/	0.85
www.hopkinsmedicine.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/johns-hopkins-medicine/	0.75
daily.jstor.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/jstore-daily/	0.38
www.climaterealityproject.org/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/the-climate-reality-project/	0.61
www.adaa.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/anxiety-and-depression-association-of-america-adaa/	0.52
www.realcleardefense.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/real-clear-defense/	0.63
thedailybanter.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/the-daily-banter/	0.59
www.northjersey.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-record-new-jersey/	0.64
www.ohio.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/akron-beacon-journal/	0.88
foreignpolicy.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/foreign-policy/	0.86
www.nber.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/national-bureau-of-economic-research-nber/	0.68
www.psypost.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/psypost/	0.44
neurosciencenews.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/neuroscience-news/	0.4
aidc.org.za/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/amandla/	0.26
retractionwatch.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/retraction-watch/	0.7
www.teapartypatriots.org/*	_cse_cwfn9qhuqkk	right-leaning	right-only			https://mediabiasfactcheck.com/tea-party-patriots/	0.7
this.org/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/this-magazine/	0.39
www.americasquarterly.org/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/americas-quarterly/	0.34
elisabethparker.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/elisabeth-parker/	0.27
www.newslookup.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/news-lookup/	0.55
circa.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/circa-news/	0.9
www.tomdispatch.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/tomdispatch-com/	0.86
www.house.gov/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/united-states-house-representatives-house-gov/	0.97
theestablishment.co/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/the-establishment/	0.31
www.restoreamericanglory.com/*	_cse_cwfn9qhuqkk	right-leaning	right-only			https://mediabiasfactcheck.com/restore-american-glory/	0.12
science.energy.gov/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/us-department-energy-office-science/	0.96
www.weforum.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/world-economic-forum/	0.88
lethbridgeherald.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/lethbridge-herald/	0.46
www.nature.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/nature/	0.92
www.news.com.au/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/news-com-au/	0.99
www.consumerreports.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/consumer-reports/	0.8
www.voanews.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/voice-of-america/	0.94
atlantablackstar.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/atlanta-black-star/	0.35
keepandbear.com/*	_cse_cwfn9qhuqkk	right-leaning	right-only			https://mediabiasfactcheck.com/keep-and-bear/	0.16
www.pgpf.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/peterson-foundation/	0.47
www.bluestemprairie.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/bluestem-prairie/	0.39
www.ammoland.com/*	_cse_cwfn9qhuqkk	right-leaning	right-only			https://mediabiasfactcheck.com/ammoland/	0.59
thebreakthrough.org/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/breakthrough-institute/	0.34
www.dailytarheel.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-daily-tarheel/	0.33
harvardpolitics.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/harvard-political-review/	0.19
www.thejournal.ie/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/thejournal-ie/	0.89
www.commonwealmagazine.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/commonweal-magazine/	0.52
undark.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/undark/	0.34
www.interpretermag.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-interpreter-magazine/	0.5
cei.org/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/competitive-enterprise-institute/	0.73
watchers.news/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/the-watchers/	0.48
www.deathandtaxesmag.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/deathandtaxes/	0.68
www.courier-journal.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-courier-journal/	0.64
www.cfr.org/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/council-on-foreign-relations/	0.82
www.mediafiledc.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/mediafile/	0.24
www.thelocal.no/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-local-norway/	0.83
boingboing.net/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/boing-boing/	0.97
www.jordantimes.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/the-jordan-times/	0.83
www.icij.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/international-consortium-of-investigative-journalists/	0.71
www.mercurynews.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/san-jose-mercury-news/	0.84
www.howstuffworks.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/howstuffworks/	0.86
themoscowtimes.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/moscow-times/	0.82
www.healthcarefinancenews.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/healthcare-finance-news/	0.65
www.procon.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/procon-org/	0.54
www.leftjustified.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/left-justified/	0.14
www.noaa.gov/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/national-oceanic-and-atmospheric-administration-noaa/	0.99
www.insidescience.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/inside-science/	0.48
www.opendemocracy.net/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/opendemocracy/	0.81
www.sfgate.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/sfgate/	0.88
www.cochrane.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/cochrane/	0.8
www.adn.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/alaska-dispatch-news/	0.69
www.jewishpress.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/the-jewish-press/	0.6
www.mnn.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/mother-nature-network/	0.75
www.atlanticcouncil.org/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/atlantic-council/	0.58
bgr.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/boy-genius-report-bgr/	0.87
www.insidephilanthropy.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/inside-philanthropy/	0.25
www.irishtimes.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-irish-times/	0.78
www.glamour.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/glamour-magazine/	0.94
www.upi.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/united-press-international-upi/	0.91
www.skepdic.com/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/the-skeptics-dictionary/	0.65
www.studentnewsdaily.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/student-daily-news/	0.32
www.adl.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/anti-defamation-league/	0.68
www.lavendermagazine.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/lavender-magazine/	0.44
www.thechristianleft.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-christian-left/	0.39
sojo.net/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/sojourners-soho/	0.75
www.hollywoodreporter.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/hollywood-reporter/	0.95
www.rasmussenreports.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/rasmussen-reports/	0.83
climateactiontracker.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/climate-action-tracker/	0.37
www.emirates247.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/emirates-247/	0.88
panampost.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/panam-post/	0.39
economictimes.indiatimes.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-economic-times/	0.84
progressivearmy.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/progressive-army/	0.4
www.buffalonews.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/buffalo-news/	0.62
crooked.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/crooked-media/	0.42
www.novinite.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/novinite/	0.77
mavenroundtable.io/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/political-storm/	0.14
fortune.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/fortune-magazine/	0.81
deadspin.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/deadspin/	0.97
www.calgarysun.com/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/calgary-sun/	0.84
www.dpa-international.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/dpa-german-press-agency/	0.24
www.crisisgroup.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/international-crisis-group/	0.74
www.greentechmedia.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/greentech-media/	0.57
www.democracy21.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/democracy-21/	0.57
www.cleveland.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-plain-dealer/	0.89
canadiandimension.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/canadian-dimension/	0.35
www.climatecentral.org/*	_cse_cwfn9qhuqkk	pro-science-only				https://mediabiasfactcheck.com/climate-central/	0.63
www.swedishwire.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/the-swedish-wire/	0.35
www.migrationpolicy.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/migration-policy-institute/	0.48
www.pressprogress.ca/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/press-progress/	0.22
www.chicagoreader.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/chicago-reader/	0.7
www.cjr.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/columbia-journalism-review/	0.85
thewest.com.au/*	_cse_cwfn9qhuqkk	mostly-center	right-leaning	right-center-only		https://mediabiasfactcheck.com/the-west-australian/	0.67
www.wnyc.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/wnyc/	0.82
www.courthousenews.com/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/courthouse-news-service/	0.66
www.chinadaily.com.cn/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/china-daily/	1.0
nowtoronto.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/now-magazine/	0.56
therealnews.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/real-news-network/	0.81
www.uft.org/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/united-federation-of-teachers-uft/	0.51
www.msmagazine.com/*	_cse_cwfn9qhuqkk	left-leaning	left-only			https://mediabiasfactcheck.com/ms-magazine/	0.59
www.helsinkitimes.fi/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/helsinki-times/	0.59
shameproject.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/shame-project/	0.25
www.lohud.com/*	_cse_cwfn9qhuqkk	mostly-center	left-leaning	left-center-only		https://mediabiasfactcheck.com/the-journal-news/	0.54
earth.columbia.edu/*	_cse_cwfn9qhuqkk	mostly-center	center-only			https://mediabiasfactcheck.com/earth-institute/	0.38
